IATA,Name,Country,BaseCity,Active
N5,Skagway Air Service,United States,"WASHINGTON, D.C.",Y
SP,SATA Air Acores,Portugal,LISBON,Y
SQ,Singapore Airlines,Singapore,SINGAPORE,Y
5M,Sibaviatrans,Russia,MOSCOW,Y
SI,Skynet Airlines,Ireland,DUBLIN,Y
SJ,Sriwijaya Air,Indonesia,JAKARTA,Y
ZS,Sama Airlines,Saudi Arabia,RIYADH,Y
SQ,Singapore Airlines Cargo,Singapore,SINGAPORE,Y
FT,Siem Reap Airways,Cambodia,PHNOM PENH,Y
DG,South East Asian Airlines,Philippines,MANILA,Y
5G,Skyservice Airlines,Canada,OTTAWA,Y
FS,Servicios de Transportes A,Argentina,BUENOS AIRES,Y
SD,Sudan Airways,Sudan,KHARTOUM,Y
SV,Saudi Arabian Airlines,Saudi Arabia,RIYADH,Y
WN,Southwest Airlines,United States,"WASHINGTON, D.C.",Y
A4,Southern Winds Airlines,Argentina,BUENOS AIRES,Y
LX,Swiss International Air Lines,Switzerland,BERN,Y
SR,Swissair,Switzerland,BERN,Y
WV,Swe Fly,Sweden,STOCKHOLM,Y
XQ,SunExpress,Turkey,ANKARA,Y
RB,Syrian Arab Airlines,SYRIA,DAMASCUS,Y
AL,Skywalk Airlines,United States,"WASHINGTON, D.C.",Y
SC,Shandong Airlines,China,BEIJING,Y
9S,Spring Airlines,China,BEIJING,Y
3U,Sichuan Airlines,China,BEIJING,Y
FM,Shanghai Airlines,China,BEIJING,Y
ZH,Shenzhen Airlines,China,BEIJING,Y
7L,Sun D'Or,Israel,JERUSALEM,Y
NE,SkyEurope,Slovakia,BRATISLAVA,Y
JK,Spanair,Spain,MADRID,Y
NK,Spirit Airlines,United States,"WASHINGTON, D.C.",Y
9R,SATENA,Colombia,BOGOTÁ,Y
S3,Santa Barbara Airlines,Venezuela,CARACAS,Y
H2,Sky Airline,Chile,SANTIAGO,Y
OO,SkyWest,United States,"WASHINGTON, D.C.",Y
JZ,Skyways Express,Sweden,STOCKHOLM,Y
BC,Skymark Airlines,Japan,TOKYO,Y
MI,SilkAir,Singapore,SINGAPORE,Y
PY,Surinam Airways,Suriname,PARAMARIBO,Y
NB,Sterling Airlines,Denmark,COPENHAGEN,Y
6J,Skynet Asia Airways,Japan,TOKYO,Y
IE,Solomon Airlines,Solomon Islands,HONIARA,Y
6W,Saratov Aviation Division,Russia,MOSCOW,Y
HZ,Sat Airlines,Kazakhstan,NUR-SULTAN,Y
S5,Shuttle America,United States,"WASHINGTON, D.C.",Y
DV,Scat Air,Kazakhstan,NUR-SULTAN,Y
EQ,TAME,Ecuador,QUITO,Y
JJ,TAM Brazilian Airlines,Brazil,BRASILIA,Y
TP,TAP Portugal,Portugal,LISBON,Y
TU,Tunisair,Tunisia,TUNIS,Y
T2,Thai Air Cargo,Thailand,BANGKOK,Y
FQ,Thomas Cook Airlines,Belgium,BRUSSELS,Y
MT,Thomas Cook Airlines,United Kingdom,LONDON,Y
TR,Tiger Airways,Singapore,SINGAPORE,Y
TT,Tiger Airways Australia,Australia,CANBERRA,Y
TG,Thai Airways International,Thailand,BANGKOK,Y
FD,Thai AirAsia,Thailand,BANGKOK,Y
TK,Turkish Airlines,Turkey,ANKARA,Y
T7,Twin Jet,France,PARIS,Y
TL,Trans Mediterranean Airlines,Lebanon,BEIRUT,Y
BY,Thomsonfly,United Kingdom,LONDON,Y
PM,Tropic Air,Belize,BELMOPAN,Y
QT,TAMPA,Colombia,BOGOTÁ,Y
GE,TransAsia Airways,Taiwan,TAIPEI,Y
HV,Transavia Holland,Netherlands,AMSTERDAM,Y
VR,TACV,Portugal,LISBON,Y
9T,Transwest Air,Canada,OTTAWA,Y
UN,Transaero Airlines,Russia,MOSCOW,Y
T5,Turkmenistan Airlines,Turkmenistan,ASHGABAT,Y
UG,Tuninter,Tunisia,TUNIS,Y
QS,Travel Service,Czech Republic,PRAGUE,Y
6B,TUIfly Nordic,Sweden,STOCKHOLM,Y
DT,TAAG Angola Airlines,Angola,LUANDA,Y
PZ,TAM Mercosur,Paraguay,ASUNCIÓN,Y
AX,Trans States Airlines,United States,"WASHINGTON, D.C.",Y
RO,Tarom,Romania,BUCHAREST,Y
3T,Turan Air,Azerbaijan,BAKU,Y
8R,TRIP Linhas A,Brazil,BRASILIA,Y
U5,USA3000 Airlines,United States,"WASHINGTON, D.C.",Y
UA,United Airlines,United States,"WASHINGTON, D.C.",Y
U6,Ural Airlines,Russia,MOSCOW,Y
UF,UM Airlines,Ukraine,KIEV,Y
US,US Airways,United States,"WASHINGTON, D.C.",Y
UT,UTair Aviation,Russia,MOSCOW,Y
HY,Uzbekistan Airways,Uzbekistan,TASHKENT,Y
PS,Ukraine International Airlines,Ukraine,KIEV,Y
UH,US Helicopter Corporation,United States,"WASHINGTON, D.C.",Y
VF,Valuair,Singapore,SINGAPORE,Y
VN,Vietnam Airlines,Vietnam,HANOI,Y
NN,VIM Airlines,Russia,MOSCOW,Y
Y4,Volaris,Mexico,MEXICO CITY,Y
VI,Volga-Dnepr Airlines,Russia,MOSCOW,Y
VX,Virgin America,United States,"WASHINGTON, D.C.",Y
TV,Virgin Express,Belgium,BRUSSELS,Y
VK,Virgin Nigeria Airways,Nigeria,ABUJA,Y
VS,Virgin Atlantic Airways,United Kingdom,LONDON,Y
ZG,Viva Macau,MACAO,Macau,Y
VE,Volare Airlines,Italy,ROME,Y
VY,Vueling Airlines,Spain,MADRID,Y
XF,Vladivostok Air,Russia,MOSCOW,Y
LC,Varig Log,Brazil,BRASILIA,Y
VA,Virgin Australia,Australia,CANBERRA,Y
RG,VRG Linhas Aereas,Brazil,BRASILIA,Y
VP,VASP,Brazil,BRASILIA,Y
VG,VLM Airlines,Belgium,BRUSSELS,Y
7W,Wayraper,Peru,LIMA,Y
WJ,WebJet Linhas A,Brazil,BRASILIA,Y
2W,Welcome Air,Austria,VIENNA,Y
8O,West Coast Air,Canada,OTTAWA,Y
WS,WestJet,Canada,OTTAWA,Y
WA,Western Airlines,United States,"WASHINGTON, D.C.",Y
WF,Widerøe,Norway,OSLO,Y
IV,Wind Jet,Italy,ROME,Y
IW,Wings Air,Indonesia,JAKARTA,Y
W6,Wizz Air,Hungary,BUDAPEST,Y
8Z,Wizz Air Hungary,Bulgaria,SOFIA,Y
WO,World Airways,United States,"WASHINGTON, D.C.",Y
SE,XL Airways France,France,PARIS,Y
MF,Xiamen Airlines,China,BEIJING,Y
YL,Yamal Airlines,Russia,MOSCOW,Y
IY,Yemenia,Yemen,SANA'A,Y
Z4,Zoom Airlines,Canada,OTTAWA,Y
8Q,Maldivian Air Taxi,Maldives,MALE,Y
XW,Sky Express,Russia,MOSCOW,Y
VJ,Royal Air Cambodge,Cambodia,PHNOM PENH,Y
6T,Air Mandalay,MYANMAR,NAY PYI TAW,Y
BX,Air Busan,SOUTH KOREA,SEOUL,Y
GH,Globus,Russia,MOSCOW,Y
9Y,Air Kazakhstan,Kazakhstan,NUR-SULTAN,Y
JD,Japan Air System,Japan,TOKYO,Y
DS,EasyJet (DS),Switzerland,BERN,Y
2I,Star Peru (2I),Peru,LIMA,Y
KW,Carnival Air Lines,United States,"WASHINGTON, D.C.",Y
4H,United Airways,Bangladesh,DHAKA,Y
5H,Fly540,Kenya,NAIROBI,Y
TO,Transavia France,France,PARIS,Y
WP,Island Air (WP),United States,"WASHINGTON, D.C.",Y
B7,Uni Air,Taiwan,TAIPEI,Y
YD,Gomelavia,Belarus,MINSK,Y
WZ,Red Wings,Russia,MOSCOW,Y
11,TUIfly (X3),Germany,BERLIN,Y
FU,Felix Airways,Yemen,SANA'A,Y
K1,Kostromskie avialinii,Russia,MOSCOW,Y
XX,Greenfly,Spain,MADRID,Y
7J,Tajik Air,Tajikistan,DUSHANBE,Y
TM,Air Mozambique,Mozambique,MAPUTO,Y
GY,Gabon Airlines,Gabon,LIBREVILLE,Y
ML,Maldivo Airlines,Maldives,MALE,Y
VH,Virgin Pacific,Fiji,SUVA,Y
Z2,Zest Air,Philippines,MANILA,Y
HK,Yangon Airways,MYANMAR,NAY PYI TAW,Y
ZE,Eastar Jet,South Korea,SEOUL,Y
LJ,Jin Air,South Korea,SEOUL,Y
3O,Air Arabia Maroc,Morocco,RABAT,Y
B1,Baltic Air lines,Latvia,RIGA,Y
YC,Ciel Canadien,Canada,OTTAWA,Y
CN,Canadian National Airways,Canada,OTTAWA,Y
FA,Epic Holiday,United States,"WASHINGTON, D.C.",Y
3I,Air Comet Chile,Chile,SANTIAGO,Y
L8,Line Blue,Germany,BERLIN,Y
SZ,Salzburg arrows,Austria,VIENNA,Y
TQ,Texas Wings,United States,"WASHINGTON, D.C.",Y
DH,Dennis Sky,Israel,JERUSALEM,Y
ZZ,Zz,Belgium,BRUSSELS,Y
A1,Atifly,United States,"WASHINGTON, D.C.",Y
99,Ciao Air,Italy,ROME,Y
5P,Pal airlines,Chile,SANTIAGO,Y
C1,CanXpress,Canada,OTTAWA,Y
V5,Danube Wings (V5),Slovakia,BRATISLAVA,Y
SH,Sharp Airlines,Australia,CANBERRA,Y
C2,CanXplorer,Canada,OTTAWA,Y
QA,Click (Mexicana),Mexico,MEXICO CITY,Y
W1,World Experience Airline,Canada,OTTAWA,Y
J4,ALAK,Russia,MOSCOW,Y
3E,Air Choice One,United States,"WASHINGTON, D.C.",Y
KN,China United,China,BEIJING,Y
ZQ,Locair,United States,"WASHINGTON, D.C.",Y
4Q,Safi Airlines,Afghanistan,KABUL,Y
K5,SeaPort Airlines,United States,"WASHINGTON, D.C.",Y
S6,Salmon Air,United States,"WASHINGTON, D.C.",Y
1,Bobb Air Freight,Germany,BERLIN,Y
V9,Star1 Airlines,Lithuania,VILNIUS,Y
6D,Pelita,Indonesia,JAKARTA,Y
J5,Alaska Seaplane Service,United States,"WASHINGTON, D.C.",Y
I6,MexicanaLink,Mexico,MEXICO CITY,Y
IP,Island Spirit,Iceland,REYKJAVIK,Y
T0,TACA Peru,Peru,LIMA,Y
7Q,Pan Am World Airways Dominicana,Dominican Republic,SANTO DOMINGO,Y
PF,Primera Air,Iceland,REYKJAVIK,Y
P7,Regional Paraguaya,Paraguay,ASUNCIÓN,Y
V6,VIP Ecuador,Ecuador,QUITO,Y
P9,Peruvian Airlines,Peru,LIMA,Y
OC,Catovair,Mauritius,PORT LOUIS,Y
4P,Business Aviation,CONGO,BRAZZAVILLE,Y
E9,Compagnie Africaine d\\'Aviation,CONGO,BRAZZAVILLE,Y
K8,Zambia Skyways,Zambia,LUSAKA,Y
UJ,AlMasria Universal Airlines,Egypt,CAIRO,Y
6Y,SmartLynx Airlines,Latvia,RIGA,Y
K7,KoralBlue Airlines,Egypt,CAIRO,Y
E4,Elysian Airlines,Cameroon,YAOUNDE,Y
HT,Hellenic Imperial Airways,Greece,ATHENS,Y
WD,Amsterdam Airlines,Netherlands,AMSTERDAM,Y
Q9,Arik Niger,Niger,NIAMEY,Y
DA,Dana Air,Nigeria,ABUJA,Y
7Y,Med Airways,Lebanon,BEIRUT,Y
UQ,Skyjet Airlines,Uganda,KAMPALA,Y
G6,Air Volga,Russia,MOSCOW,Y
RL,Royal Falcon,Jordan,AMMAN,Y
4L,Euroline,Georgia,TBILISI,Y
ZF,Athens Airways,Greece,ATHENS,Y
VQ,Viking Hellas,Greece,ATHENS,Y
DZ,Starline.kz,Kazakhstan,NUR-SULTAN,Y
L7,Lugansk Airlines,Ukraine,KIEV,Y
6P,Gryphon Airlines,United States,"WASHINGTON, D.C.",Y
GP,Gadair European Airlines,Spain,MADRID,Y
SM,Spirit of Manila Airlines,Philippines,MANILA,Y
OQ,Chongqing Airlines,China,BEIJING,Y
PN,West Air China,China,BEIJING,Y
C3,QatXpress,Qatar,DOHA,Y
1C,OneChina,China,BEIJING,Y
Y7,NordStar Airlines,Russia,MOSCOW,Y
JR,Joy Air,China,BEIJING,Y
CD,Air India Regional,India,NEW DELHI,Y
9H,MDLR Airlines,India,NEW DELHI,Y
Q2,Maldivian,Maldives,MALE,Y
XN,Xpressair,Indonesia,JAKARTA,Y
VC,Strategic Airlines,Australia,CANBERRA,Y
NA,Al-Naser Airlines,Iraq,BAGHDAD,Y
JH,Fuji Dream Airlines,Japan,TOKYO,Y
5E,SGA Airlines,Thailand,BANGKOK,Y
F8,Air2there,New Zealand,WELLINGTON,Y
AO,Avianova (Russia),Russia,MOSCOW,Y
PA,Parmiss Airlines (IPV),Iran,TEHRAN,Y
ES,EuropeSky,Germany,BERLIN,Y
GB,BRAZIL AIR,Brazil,BRASILIA,Y
MR,Homer Air,Germany,BERLIN,Y
WQ,PanAm World Airways,United States,"WASHINGTON, D.C.",Y
YY,Virginwings,Germany,BERLIN,Y
KY,KSY,Greece,ATHENS,Y
BQ,Buquebus Líneas Aéreas,Uruguay,MONTEVIDEO,Y
CQ,SOCHI AIR,Russia,MOSCOW,Y
WU,Wizz Air Ukraine,Ukraine,KIEV,Y
LQ,LCM AIRLINES,Russia,MOSCOW,Y
K6,Cambodia Angkor Air (K6),Cambodia,PHNOM PENH,Y
69,Royal European Airlines,United Kingdom,LONDON,Y
AD,Azul,Brazil,BRASILIA,Y
PQ,LSM Airlines,Russia,MOSCOW,Y
C4,LionXpress,Cameroon,YAOUNDE,Y
GK,Genesis,Pakistan,ISLAMABAD,Y
XZ,Congo Express,CONGO,BRAZZAVILLE,Y
FZ,Fly Dubai,United Arab Emirates,ABU DHABI,Y
D1,Domenican Airlines,Dominican Republic,SANTO DOMINGO,Y
JY,Aereonautica militare,Italy,ROME,Y
YZ,LSM AIRLINES,Russia,MOSCOW,Y
UR,UTair-Express,Russia,MOSCOW,Y
G5,Huaxia,China,BEIJING,Y
ZP,Zabaykalskii Airlines,Russia,MOSCOW,Y
M4,Marysya Airlines,Russia,MOSCOW,Y
N1,N1,Peru,LIMA,Y
4Z,Airlink (SAA),South Africa,Cape Town,Y
3B,JobAir,Czech Republic,PRAGUE,Y
BZ,Black Stallion Airways,United States,"WASHINGTON, D.C.",Y
GM,German International Air Lines,Germany,BERLIN,Y
TB,TrasBrasil,Brazil,BRASILIA,Y
TH,TransBrasil Airlines,Brazil,BRASILIA,Y
9C,China SSS,China,BEIJING,Y
P8,Air Mekong,Vietnam,HANOI,Y
H3,Harbour Air (Priv),Canada,OTTAWA,Y
HH,Air Hamburg (AHO),Germany,BERLIN,Y
Z6,ZABAIKAL AIRLINES,Russia,MOSCOW,Y
TI,TransHolding,Brazil,BRASILIA,Y
YT,Yeti Airways,Nepal,KATHMANDU,Y
Y1,Yellowstone Club Private Shuttle,United States,"WASHINGTON, D.C.",Y
NS,Caucasus Airlines,Georgia,TBILISI,Y
S1,Serbian Airlines,Serbia,BELGRADE,Y
WM,Windward Islands Airways,Netherlands,AMSTERDAM,Y
YO,TransHolding System,Brazil,BRASILIA,Y
CB,CCML Airlines,Colombia,BOGOTÁ,Y
F1,Fly Brasil,Brazil,BRASILIA,Y
1F,CB Airways UK ( Interliging Flights ),United Kingdom,LONDON,Y
3F,Fly Colombia ( Interliging Flights ),Colombia,BOGOTÁ,Y
T6,Trans Pas Air,United States,"WASHINGTON, D.C.",Y
HC,Himalayan Airlines,Nepal,KATHMANDU,Y
G1,Indya Airline Group,India,NEW DELHI,Y
WG,Sunwing,Canada,OTTAWA,Y
ZX,Japan Regio,Japan,TOKYO,Y
N0,Norte Lineas Aereas,Argentina,BUENOS AIRES,Y
W7,Austral Brasil,Brazil,BRASILIA,Y
H9,PEGASUS AIRLINES-,Turkey,ANKARA,Y
QC,Camair-co,Cameroon,YAOUNDE,Y
RS,Sky Regional,Canada,OTTAWA,Y
II,LSM International,Russia,MOSCOW,Y
L4,Luchsh Airlines,Russia,MOSCOW,Y
6U,Air Cargo Germany,Germany,BERLIN,Y
7M,Mongolian International Air Lines,Mongolia,ULAANBAATAR,Y
TW,Tway Airlines,South Korea,SEOUL,Y
HI,Papillon Grand Canyon Helicopters,United States,"WASHINGTON, D.C.",Y
JX,Jusur airways,Egypt,CAIRO,Y
XB,NEXT Brasil,Brazil,BRASILIA,Y
W4,AeroWorld,Russia,MOSCOW,Y
GN,GNB Linhas Aereas,Brazil,BRASILIA,Y
E1,Usa Sky Cargo,United States,"WASHINGTON, D.C.",Y
HN,Hankook Airline,South Korea,SEOUL,Y
Z7,REDjet,Barbados,BRIDGETOWN,Y
PT,Red Jet Andes,Peru,LIMA,Y
QY,Red Jet Canada,Canada,OTTAWA,Y
4X,Red Jet Mexico,Mexico,MEXICO CITY,Y
Y8,Marusya Airways,Russia,MOSCOW,Y
7H,Era Alaska,United States,"WASHINGTON, D.C.",Y
R8,AirRussia,Russia,MOSCOW,Y
H1,Hankook Air US,United States,"WASHINGTON, D.C.",Y
H5,I-Fly,Russia,MOSCOW,Y
KT,VickJet,France,PARIS,Y
SO,Salsa d\\'Haiti,Haiti,PORT-AU-PRINCE,Y
ZJ,Zambezi Airlines (ZMA),Zambia,LUSAKA,Y
YQ,Polet Airlines (Priv),Russia,MOSCOW,Y
12,12 North,India,NEW DELHI,Y
L6,Mauritania Airlines International,Mauritania,NOUAKCHOTT,Y
6F,MAT Airways,Macedonia,SKOPJE,Y
AW,Asian Wings Airways,MYANMAR,NAY PYI TAW,Y
E5,Air Arabia Egypt,Egypt,CAIRO,Y
CT,Alitalia Cityliner,Italy,ROME,Y
OI,Orchid Airlines,Australia,CANBERRA,Y
Y5,Asia Wings,Kazakhstan,NUR-SULTAN,Y
XR,Skywest Australia,Australia,CANBERRA,Y
NP,Nile Air,Egypt,CAIRO,Y
DN,Senegal Airlines,Senegal,DAKAR,Y
6I,Fly 6ix,Sierra Leone,FREETOWN,Y
S9,Starbow Airlines,Ghana,ACCRA,Y
0X,Copenhagen Express,Denmark,COPENHAGEN,Y
8B,BusinessAir,Thailand,BANGKOK,Y
YR,SENIC AIRLINES,United States,"WASHINGTON, D.C.",Y
C7,Sky Wing Pacific,South Korea,SEOUL,Y
PP,Air Indus,Pakistan,ISLAMABAD,Y
MM,Peach Aviation,Japan,TOKYO,Y
U1,Aviabus,Russia,MOSCOW,Y
ZC,Korongo Airlines,CONGO,BRAZZAVILLE,Y
I5,Indonesia Sky,Indonesia,JAKARTA,Y
B0,Aws express,United States,"WASHINGTON, D.C.",Y
76,Southjet,United States,"WASHINGTON, D.C.",Y
77,Southjet connect,United States,"WASHINGTON, D.C.",Y
78,Southjet cargo,United States,"WASHINGTON, D.C.",Y
I2,Iberia Express,Spain,MADRID,Y
4O,Interjet (ABC Aerolineas),Mexico,MEXICO CITY,Y
OG,AirOnix,Ukraine,KIEV,Y
NJ,Nordic Global Airlines,Finland,HELSINKI,Y
TZ,Scoot,Singapore,SINGAPORE,Y
5K,Hi Fly (5K),Portugal,LISBON,Y
WH,China Northwest Airlines (WH),China,BEIJING,Y
ZN,Zenith International Airline,Thailand,BANGKOK,Y
O1,Orbit Airlines Azerbaijan,Azerbaijan,BAKU,Y
A6,Air Alps Aviation (A6),Austria,VIENNA,Y
P4,Patriot Airways,United States,"WASHINGTON, D.C.",Y
V2,Vision Airlines (V2),United States,"WASHINGTON, D.C.",Y
5Q,BQB Lineas Aereas,Uruguay,MONTEVIDEO,Y
YE,Yellowtail,United States,"WASHINGTON, D.C.",Y
KG,Royal Airways,United States,"WASHINGTON, D.C.",Y
FH,FlyHigh Airlines Ireland (FH),Ireland,DUBLIN,Y
2D,Aero VIP (2D),Portugal,LISBON,Y
YH,Yangon Airways Ltd.,MYANMAR,NAY PYI TAW,Y
TJ,T.J. Air,United States,"WASHINGTON, D.C.",Y
SX,SkyWork Airlines,Switzerland,BERN,Y
W2,Maastricht Airlines,Netherlands,AMSTERDAM,Y
24,Euro Jet,Germany,BERLIN,Y
Q3,SOCHI AIR CHATER,Russia,MOSCOW,Y
J7,Denim Air,Norway,OSLO,Y
OD,Malindo Air,Malaysia,KUALA LUMPUR,Y
Z9,Flightlink Tanzania,Tanzania,DODOMA,Y
I8,IzAvia,Russia,MOSCOW,Y
M1,Maryland Air,United States,"WASHINGTON, D.C.",Y
7I,Insel Air (7I/INC) (Priv),Netherlands,AMSTERDAM,Y
5Z,VivaColombia,Colombia,BOGOTÁ,Y
ZM,Apache Air,United States,"WASHINGTON, D.C.",Y
M2,MHS Aviation GmbH,Germany,BERLIN,Y
NR,Jettor Airlines,Hong Kong,Hong Kong,Y
SL,Thai Lion Air,Thailand,BANGKOK,Y
N8,National Air Cargo,United States,"WASHINGTON, D.C.",Y
13,Eastern Atlantic Virtual Airlines,United States,"WASHINGTON, D.C.",Y
QG,Citilink Indonesia,Indonesia,JAKARTA,Y
S8,Snowbird Airlines,Finland,HELSINKI,Y
KH,Kharkiv Airlines,Ukraine,KIEV,Y
XA,XAIR USA,United States,"WASHINGTON, D.C.",Y
LB,Air Costa,India,NEW DELHI,Y
XP,XPTO,Portugal,LISBON,Y
3W,Malawian Airlines,Malawi,LILONGWE,Y
JU,Air Serbia,Serbia,BELGRADE,Y
LT,Air Lituanica,Lithuania,VILNIUS,Y
RN,Rainbow Air (RAI),United States,"WASHINGTON, D.C.",Y
RY,Rainbow Air Canada,Canada,OTTAWA,Y
RX,Rainbow Air Polynesia,United States,"WASHINGTON, D.C.",Y
RU,Rainbow Air Euro,United Kingdom,LONDON,Y
RM,Rainbow Air US,United States,"WASHINGTON, D.C.",Y
QD,Dobrolet,Russia,MOSCOW,Y
S0,Spike Airlines,United States,"WASHINGTON, D.C.",Y
L1,All Argentina,Argentina,BUENOS AIRES,Y
A2,All America,United States,"WASHINGTON, D.C.",Y
L9,All Asia,China,BEIJING,Y
9A,All Africa,South Africa,Cape Town,Y
N4,Regionalia México,Mexico,MEXICO CITY,Y
N9,All Europe,United Kingdom,LONDON,Y
N7,All Spain,Spain,MADRID,Y
9N,Regional Air Iceland,Iceland,REYKJAVIK,Y
8K,Voestar,Brazil,BRASILIA,Y
7O,All Colombia,Colombia,BOGOTÁ,Y
2X,Regionalia Uruguay,Uruguay,MONTEVIDEO,Y
9X,Regionalia Venezuela,Venezuela,CARACAS,Y
9J,Regionalia Chile,Chile,SANTIAGO,Y
6C,Vuela Cuba,Cuba,HAVANA,Y
88,All Australia,Australia,CANBERRA,Y
ER,Fly Europa,Spain,MADRID,Y
PO,FlyPortugal,Portugal,LISBON,Y
IJ,Spring Airlines Japan,Japan,TOKYO,Y
KP,Dense Airways,United States,"WASHINGTON, D.C.",Y
KZ,Dense Connection,United States,"WASHINGTON, D.C.",Y
4S,Vuola Italia,Italy,ROME,Y
1X,Island Express Air,Canada,OTTAWA,Y
Z0,All Argentina Express,Argentina,BUENOS AIRES,Y
WE,Thai Smile Airways,Thailand,BANGKOK,Y
I4,International AirLink,Jamaica,KINGSTON,Y
RT,Real Tonga,Tonga,NUKUʻALOFA,Y
2R,All America AR,Argentina,BUENOS AIRES,Y
1R,All America CL,Chile,SANTIAGO,Y
Q4,SOCHI AIR EXPRESS,Russia,MOSCOW,Y
1Y,All America BR,Brazil,BRASILIA,Y
9V,Volotea Costa Rica,Costa Rica,SAN JOSE,Y
X5,Fly Romania,Romania,BUCHAREST,Y
E2,Eagle Atlantic Airlines,Ghana,ACCRA,Y
0Y,All America CO,Colombia,BOGOTÁ,Y
0M,All America MX,Mexico,MEXICO CITY,Y
FX,FOX Linhas Aereas,Brazil,BRASILIA,Y
QP,Air Kenya (Priv),Kenya,NAIROBI,Y
6V,Via Conectia Airlines,Uruguay,MONTEVIDEO,Y
E8,City Airways,Thailand,BANGKOK,Y
DU,Norwegian Long Haul AS,Norway,OSLO,Y
M8,TransNusa Air,Indonesia,JAKARTA,Y
ZT,Tomp Airlines,Chile,SANTIAGO,Y
J1,OneJet,United States,"WASHINGTON, D.C.",Y
0G,Global Airlines,Argentina,BUENOS AIRES,Y
UK,Air Vistara,India,NEW DELHI,Y
1E,TransRussiaAirlines,Russia,MOSCOW,Y
D2,Severstal Air Company,Russia,MOSCOW,Y
RR,REXAIR VIRTUEL,France,PARIS,Y
WR,WestJet Encore,Canada,OTTAWA,Y
OP,Air Pegasus,India,NEW DELHI,Y
9I,International Europe,Spain,MADRID,Y
ZV,V Air,Taiwan,TAIPEI,Y
4B,Boutique Air (Priv),United States,"WASHINGTON, D.C.",Y
V7,VOLOTEA Airways,Spain,MADRID,Y
Z5,INAVIA Internacional,Argentina,BUENOS AIRES,Y
LE,Liberty Airways,United States,"WASHINGTON, D.C.",Y
5B,Bassaka airlines,Cambodia,PHNOM PENH,Y
Q7,SkyBahamas Airlines,Bahamas,NASSAU,Y
UW,UVT Aero,Russia,MOSCOW,Y
3M,Silver Airways (3M),United States,"WASHINGTON, D.C.",Y
I3,ATA Airlines (Iran),Iran,TEHRAN,Y
V1,VIA Líneas Aéreas,Argentina,BUENOS AIRES,Y
GX,GermanXL,Germany,BERLIN,Y
FF,Fly France,France,PARIS,Y
EX,Europe Jet,France,PARIS,Y
W3,World Scale Airlines,United States,"WASHINGTON, D.C.",Y
AG,All America US,United States,"WASHINGTON, D.C.",Y
1K,BudgetAir,Germany,BERLIN,Y
F5,Fly One,Moldova,CHISINAU,Y
EE,Nordica,Estonia,TALLINN,Y
0P,All America BOPY,Paraguay,ASUNCIÓN,Y
JG,Jetgo Australia,Australia,CANBERRA,Y
2S,Air Carnival,India,NEW DELHI,Y
7R,Svyaz Rossiya,Russia,MOSCOW,Y
