IATA,Name,Country,BaseCity,Active
KI,Adam Air,Indonesia,JAKARTA,Y
EN,Air Dolomiti,Italy,ROME,Y
D9,Aeroflot-Don,Russia,MOSCOW,Y
NM,Air Madrid,Spain,MADRID,Y
EI,Aer Lingus,Ireland,DUBLIN,Y
OF,Air Finland,Finland,HELSINKI,Y
FJ,Air Pacific,Fiji,SUVA,Y
QH,Air Florida,United States,"WASHINGTON, D.C.",Y
NY,Air Iceland,Iceland,REYKJAVIK,Y
2P,Air Philippines,Philippines,MANILA,Y
2U,Air Guinee Express,Guinea,CONAKRY,Y
GL,Air Greenland,Denmark,COPENHAGEN,Y
5Y,Atlas Air,United States,"WASHINGTON, D.C.",Y
W9,Air Bagan,Myanmar,NAY PYI TAW,Y
QK,Air Canada Jazz,Canada,OTTAWA,Y
KK,Atlasjet,Turkey,ANKARA,Y
JS,Air Koryo,SOUTH KOREA,SEOUL,Y
KC,Air Astana,Kazakhstan,NUR-SULTAN,Y
LV,Albanian Airlines,Albania,TIRANA,Y
XL,Aerolane,Ecuador,QUITO,Y
TD,Atlantis European Airways,Armenia,YEREVAN,Y
LK,Air Luxor,Portugal,LISBON,Y
MK,Air Mauritius,Mauritius,PORT LOUIS,Y
MD,Air Madagascar,Madagascar,ANTANANARIVO,Y
9U,Air Moldova,Moldova,CHISINAU,Y
A7,Air Plus Comet,Spain,MADRID,Y
8D,Astair,Russian Federation,MOSCOW,Y
AJ,Aero Contractors,Nigeria,ABUJA,Y
OT,Aeropelican Air Services,Australia,CANBERRA,Y
RE,Aer Arann,Ireland,DUBLIN,Y
UU,Air Austral,France,PARIS,Y
6K,Asian Spirit,Philippines,MANILA,Y
RK,Air Afrique,Ivory Coast,Yamoussoukro,Y
A5,Airlinair,France,PARIS,Y
QL,Aero Lanka,Sri Lanka,"COLOMBO, SRI JAYAWARDENEPURA KOTTE",Y
20,Air Salone,Sierra Leone,FREETOWN,Y
U8,Armavia,Armenia,YEREVAN,Y
P5,AeroRep,Colombia,BOGOTÁ,Y
BF,Aero-Service,CONGO,BRAZZAVILLE,Y
5L,Aerosur,Bolivia,SUCRE,Y
Z3,Avient Aviation,Zimbabwe,HARARE,Y
R3,Aircompany Yakutia,Russia,MOSCOW,Y
VW,Aeromar,Mexico,MEXICO CITY,Y
OR,Arkefly,Netherlands,AMSTERDAM,Y
CG,Airlines PNG,Papua New Guinea,PORT MORESBY,Y
FL,AirTran Airways,United States,"WASHINGTON, D.C.",Y
TS,Air Transat,Canada,OTTAWA,Y
EC,Avialeasing Aviation Company,Uzbekistan,TASHKENT,Y
VO,Tyrolean Airways,Austria,VIENNA,Y
2K,Aerolineas Galapagos (Aerogal),Ecuador,QUITO,Y
6R,Alrosa Mirny Air Enterprise,Russia,MOSCOW,Y
BA,British Airways,United Kingdom,LONDON,Y
BG,Biman Bangladesh Airlines,Bangladesh,DHAKA,Y
4T,Belair Airlines,Switzerland,BERN,Y
UP,Bahamasair,Bahamas,NASSAU,Y
BS,British International Helicopters,United Kingdom,LONDON,Y
PG,Bangkok Airways,Thailand,BANGKOK,Y
KF,Blue1,Finland,HELSINKI,Y
JV,Bearskin Lake Air Service,Canada,OTTAWA,Y
B3,Bellview Airlines,Nigeria,ABUJA,Y
