iata_code,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,municipality
DTW,large_airport,Detroit Metropolitan Wayne County Airport,42.2123985290527,-83.353401184082,645,NA,United States,Detroit
DUJ,medium_airport,DuBois Regional Airport,41.17829895,-78.8986969,1817,NA,United States,Dubois
DUT,medium_airport,Unalaska Airport,53.900100708,-166.544006348,22,NA,United States,Unalaska
EAU,medium_airport,Chippewa Valley Regional Airport,44.8657989501953,-91.4842987060547,913,NA,United States,Eau Claire
ECP,medium_airport,Northwest Florida Beaches International Airport,30.357106,-85.795414,69,NA,United States,Panama City Beach
EGE,medium_airport,Eagle County Regional Airport,39.64260101,-106.9179993,6548,NA,United States,Eagle
EGX,medium_airport,Egegik Airport,58.1855010986,-157.375,92,NA,United States,Egegik
EIS,medium_airport,Terrance B. Lettsome International Airport,18.4447994232178,-64.5429992675781,15,NA,British Virgin Islands,Road Town
EKO,medium_airport,Elko Regional Airport,40.8249015808106,-115.791999816895,5140,NA,United States,Elko
ELD,medium_airport,South Arkansas Regional At Goodwin Field,33.2210006713867,-92.8133010864258,277,NA,United States,El Dorado
ELH,medium_airport,North Eleuthera Airport,25.474899292,-76.6835021973,13,NA,Bahamas,North Eleuthera
ELM,medium_airport,Elmira Corning Regional Airport,42.1599006652832,-76.8916015625,954,NA,United States,Elmira/Corning
ELP,medium_airport,El Paso International Airport,31.80719948,-106.3779984,3959,NA,United States,El Paso
EMK,medium_airport,Emmonak Airport,62.78609848,-164.4909973,13,NA,United States,Emmonak
ERI,large_airport,Erie International Tom Ridge Field,42.0831270134,-80.1738667488,732,NA,United States,Erie
EUG,medium_airport,Mahlon Sweet Field,44.1245994567871,-123.21199798584,374,NA,United States,Eugene
EUX,medium_airport,F. D. Roosevelt Airport,17.4965000152588,-62.9794006347656,129,NA,Caribbean Netherlands,Sint Eustatius
EVV,medium_airport,Evansville Regional Airport,38.0369987488,-87.5324020386,418,NA,United States,Evansville
EWB,medium_airport,New Bedford Regional Airport,41.6761016845703,-70.956901550293,80,NA,United States,New Bedford
EWN,medium_airport,Coastal Carolina Regional Airport,35.0730018616,-77.0429000854,18,NA,United States,New Bern
EWR,large_airport,Newark Liberty International Airport,40.6925010681152,-74.168701171875,18,NA,United States,Newark
EYW,medium_airport,Key West International Airport,24.5561008453369,-81.7595977783203,3,NA,United States,Key West
FAI,large_airport,Fairbanks International Airport,64.81510162,-147.8560028,439,NA,United States,Fairbanks
FAR,medium_airport,Hector International Airport,46.9207000732422,-96.815803527832,902,NA,United States,Fargo
FAT,medium_airport,Fresno Yosemite International Airport,36.7761993408203,-119.718002319336,336,NA,United States,Fresno
FAY,medium_airport,Fayetteville Regional Grannis Field,34.9911994934082,-78.8803024291992,189,NA,United States,Fayetteville
FCA,medium_airport,Glacier Park International Airport,48.3105010986328,-114.255996704102,2977,NA,United States,Kalispell
FDF,medium_airport,Martinique Aimé Césaire International Airport,14.5909996032715,-61.0032005310059,16,NA,Martinique,Fort-de-France
FHU,medium_airport,Sierra Vista Municipal Libby Army Air Field,31.5884990692139,-110.34400177002,4719,NA,United States,Fort Huachuca Sierra Vista
FLG,medium_airport,Flagstaff Pulliam Airport,35.13850021,-111.6709976,7014,NA,United States,Flagstaff
FLL,large_airport,Fort Lauderdale Hollywood International Airport,26.072599,-80.152702,9,NA,United States,Fort Lauderdale
FLO,medium_airport,Florence Regional Airport,34.1853981018066,-79.7238998413086,146,NA,United States,Florence
FNT,medium_airport,Bishop International Airport,42.9654006958008,-83.7435989379883,782,NA,United States,Flint
FOD,medium_airport,Fort Dodge Regional Airport,42.55149841,-94.19259644,1156,NA,United States,Fort Dodge
FPO,medium_airport,Grand Bahama International Airport,26.5587005615,-78.695602417,7,NA,Bahamas,Freeport
FRS,medium_airport,Mundo Maya International Airport,16.9137992859,-89.8664016724,427,NA,Guatemala,San Benito
FSD,medium_airport,Joe Foss Field Airport,43.5820007324,-96.741897583,1429,NA,United States,Sioux Falls
FSM,large_airport,Fort Smith Regional Airport,35.3366012573242,-94.3674011230469,469,NA,United States,Fort Smith
FSP,medium_airport,St Pierre Airport,46.7629013061523,-56.1730995178223,27,NA,Saint Pierre and Miquelon,Saint-Pierre
FWA,large_airport,Fort Wayne International Airport,40.97850037,-85.19509888,814,NA,United States,Fort Wayne
GAO,medium_airport,Mariana Grajales Airport,20.0853004455566,-75.1583023071289,56,NA,Cuba,Guantánamo
GBJ,medium_airport,Les Bases Airport,15.8687000274658,-61.2700004577637,16,NA,Guadeloupe,Grand Bourg
GCC,medium_airport,Gillette Campbell County Airport,44.3488998413,-105.539001465,4365,NA,United States,Gillette
GCK,medium_airport,Garden City Regional Airport,37.9275016785,-100.723999023,2891,NA,United States,Garden City
GCM,large_airport,Owen Roberts International Airport,19.2928009033,-81.3576965332,8,NA,Cayman Islands,Georgetown
GCN,medium_airport,Grand Canyon National Park Airport,35.9524002075195,-112.147003173828,6609,NA,United States,Grand Canyon
GDL,large_airport,Don Miguel Hidalgo Y Costilla International Airport,20.5217990875244,-103.310997009277,5016,NA,Mexico,Guadalajara
GDT,medium_airport,JAGS McCartney International Airport,21.4444999694824,-71.1423034667969,13,NA,Turks and Caicos Islands,Cockburn Town
GEG,large_airport,Spokane International Airport,47.6198997497559,-117.533996582031,2376,NA,United States,Spokane
GER,medium_airport,Rafael Cabrera Airport,21.8346996307373,-82.7837982177734,79,NA,Cuba,Nueva Gerona
GFK,medium_airport,Grand Forks International Airport,47.949299,-97.176102,845,NA,United States,Grand Forks
GGG,medium_airport,East Texas Regional Airport,32.3839988708496,-94.7115020751953,365,NA,United States,Longview
GGT,medium_airport,Exuma International Airport,23.5625991821,-75.8779983521,9,NA,Bahamas,George Town
GGW,medium_airport,Wokal Field/Glasgow-Valley County Airport,48.212502,-106.614998,2296,NA,United States,Glasgow
GHB,medium_airport,Governor's Harbour Airport,25.2847003937,-76.3310012817,26,NA,Bahamas,Governor's Harbour
GJA,medium_airport,La Laguna Airport,16.4454,-85.906601,49,NA,Honduras,Guanaja
GJT,medium_airport,Grand Junction Regional Airport,39.1223983765,-108.527000427,4858,NA,United States,Grand Junction
GLF,medium_airport,Golfito Airport,8.65400981903076,-83.1821975708008,49,NA,Costa Rica,Golfito
GLH,medium_airport,Mid Delta Regional Airport,33.4828987121582,-90.9856033325195,131,NA,United States,Greenville
GND,medium_airport,Point Salines International Airport,12.0041999816895,-61.7862014770508,41,NA,Grenada,Saint George's
GNV,medium_airport,Gainesville Regional Airport,29.6900997162,-82.2717971802,152,NA,United States,Gainesville
GOH,medium_airport,Godthaab / Nuuk Airport,64.19090271,-51.6781005859,283,NA,Greenland,Nuuk
GPT,large_airport,Gulfport Biloxi International Airport,30.4073009490967,-89.0700988769531,28,NA,United States,Gulfport
GRB,large_airport,Austin Straubel International Airport,44.4850997924805,-88.1296005249024,695,NA,United States,Green Bay
GRI,medium_airport,Central Nebraska Regional Airport,40.9674987792969,-98.3096008300781,1847,NA,United States,Grand Island
GRK,medium_airport,Robert Gray  Army Air Field Airport,31.067199707,-97.8289031982,1015,NA,United States,Fort Hood/Killeen
GRR,medium_airport,Gerald R. Ford International Airport,42.88079834,-85.52279663,794,NA,United States,Grand Rapids
GSJ,medium_airport,San José Airport,13.9362001419,-90.8358001709,29,NA,Guatemala,Puerto San José
GSO,large_airport,Piedmont Triad International Airport,36.0978012084961,-79.9373016357422,925,NA,United States,Greensboro
GSP,large_airport,Greenville Spartanburg International Airport,34.8956985474,-82.2189025879,964,NA,United States,Greenville
GST,medium_airport,Gustavus Airport,58.4253006,-135.7070007,35,NA,United States,Gustavus
GTF,medium_airport,Great Falls International Airport,47.48199844,-111.3710022,3680,NA,United States,Great Falls
GTR,medium_airport,Golden Triangle Regional Airport,33.4502983093,-88.5914001465,264,NA,United States,Columbus/W Point/Starkville
GUA,large_airport,La Aurora Airport,14.5833,-90.527496,4952,NA,Guatemala,Guatemala City
GYM,medium_airport,General José María Yáñez International Airport,27.9689998626709,-110.925003051758,59,NA,Mexico,Guaymas
HAV,large_airport,José Martí International Airport,22.989200592041,-82.4091033935547,210,NA,Cuba,Havana
HCR,medium_airport,Holy Cross Airport,62.1883010864258,-159.774993896484,70,NA,United States,Holy Cross
HIB,large_airport,Range Regional Airport,47.38660049,-92.83899689,1354,NA,United States,Hibbing
HLN,medium_airport,Helena Regional Airport,46.6068000793457,-111.983001708984,3877,NA,United States,Helena
HMO,large_airport,General Ignacio P. Garcia International Airport,29.0958995819,-111.047996521,627,NA,Mexico,Hermosillo
HNL,large_airport,Daniel K Inouye International Airport,21.32062,-157.924228,13,NA,United States,Honolulu
HNM,medium_airport,Hana Airport,20.7956008911133,-156.014007568359,78,NA,United States,Hana
HNS,medium_airport,Haines Airport,59.2438011169434,-135.524002075195,15,NA,United States,Haines
HOG,medium_airport,Frank Pais International Airport,20.7856006622314,-76.3151016235352,361,NA,Cuba,Holguin
HON,medium_airport,Huron Regional Airport,44.3852005004883,-98.2285003662109,1289,NA,United States,Huron
HOT,medium_airport,Memorial Field,34.4780006408691,-93.0961990356445,540,NA,United States,Hot Springs
HOU,large_airport,William P Hobby Airport,29.64539909,-95.27890015,46,NA,United States,Houston
HPN,medium_airport,Westchester County Airport,41.0670013427734,-73.7076034545899,439,NA,United States,White Plains
HRL,medium_airport,Valley International Airport,26.2285003662109,-97.6544036865234,36,NA,United States,Harlingen
HRO,medium_airport,Boone County Airport,36.2615013122559,-93.1547012329102,1365,NA,United States,Harrison
HSV,large_airport,Huntsville International Carl T Jones Field,34.637199401855,-86.775100708008,629,NA,United States,Huntsville
HTS,large_airport,Tri-State/Milton J. Ferguson Field,38.36669922,-82.55799866,828,NA,United States,Huntington
HUX,medium_airport,Bahías de Huatulco International Airport,15.7753,-96.262604,464,NA,Mexico,Huatulco
HVN,medium_airport,Tweed New Haven Airport,41.26369858,-72.88680267,12,NA,United States,New Haven
HYA,medium_airport,Barnstable Municipal Boardman Polando Field,41.66930008,-70.28040314,54,NA,United States,Hyannis
IAD,large_airport,Washington Dulles International Airport,38.94449997,-77.45580292,312,NA,United States,Washington
