iata_code,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,municipality
WDS,medium_airport,Shiyan Wudangshan Airport,32.591667,110.907778,,AS,CN,Shiyan
WEF,medium_airport,Weifang Airport,36.646702,119.119003,,AS,CN,Weifang
WEH,medium_airport,Weihai Airport,37.1870994567871,122.228996276855,145,AS,CN,Weihai
WGN,medium_airport,Shaoyang Wugang Airport,26.802,110.642,1444,AS,CN,Shaoyang
WJU,medium_airport,Wonju/Hoengseong Air Base (K-38/K-46),37.441201,127.963858,329,AS,KR,Wonju
WKJ,medium_airport,Wakkanai Airport,45.4042015076,141.800994873,30,AS,JP,Wakkanai
WMT,medium_airport,Zunyi Maotai Airport,27.81638,106.33268,4068,AS,CN,Zunyi
WMX,medium_airport,Wamena Airport,-4.10251,138.957001,5085,AS,ID,Wamena-Papua Island
WNI,medium_airport,Matahora Airport,-5.293996,123.634,88,AS,ID,Wangi-wangi Island
WNP,medium_airport,Naga Airport,13.5848999023438,123.269996643066,142,AS,PH,Naga
WNS,medium_airport,Shaheed Benazirabad Airport,26.2194,68.390099,95,AS,PK,Nawabashah
WNZ,large_airport,Wenzhou Longwan International Airport,27.912201,120.851997,,AS,CN,Wenzhou
WOS,medium_airport,Wonsan Kalma International Airport,39.166801,127.486,7,AS,KP,Wonsan
WUH,large_airport,Wuhan Tianhe International Airport,30.7838,114.208,113,AS,CN,Wuhan
WUS,medium_airport,Nanping Wuyishan Airport,27.7019,118.000999,614,AS,CN,Wuyishan
WUX,medium_airport,Sunan Shuofang International Airport,31.4944000244,120.429000854,24,AS,CN,Wuxi
XAI,medium_airport,Xinyang Minggang Airport,32.540819,114.079141,312,AS,CN,Xinyang
XBJ,medium_airport,Birjand Airport,32.8981018066406,59.2661018371582,4952,AS,IR,Birjand
XCH,medium_airport,Christmas Island Airport,-10.4505996704102,105.690002441406,916,AS,CX,Christmas Island
XIC,medium_airport,Xichang Qingshan Airport,27.9890995025635,102.18399810791,5112,AS,CN,Xichang
XIL,medium_airport,Xilinhot Airport,43.9155998229981,115.963996887207,,AS,CN,Xilinhot
XIY,large_airport,Xi'an Xianyang International Airport,34.447102,108.751999,1572,AS,CN,Xi'an
XMN,large_airport,Xiamen Gaoqi International Airport,24.5440006256104,118.127998352051,59,AS,CN,Xiamen
XNN,medium_airport,Xining Caojiabu Airport,36.5275,102.042999,7119,AS,CN,Xining
XSP,medium_airport,Seletar Airport,1.4169499874115,103.86799621582,36,AS,SG,Seletar
XUZ,medium_airport,Xuzhou Guanyin Airport,34.059056,117.555278,,AS,CN,Xuzhou
YEI,medium_airport,Bursa Yenişehir Airport,40.2551994324,29.5625991821,764,AS,TR,Bursa
YGJ,medium_airport,Miho Yonago Airport,35.4921989440918,133.235992431641,20,AS,JP,Yonago
YIA,medium_airport,Yogyakarta International Airport,-7.905338,110.057264,24,AS,ID,Yogyakarta
YIC,medium_airport,Yichun Mingyueshan Airport,27.8025,114.3062,430,AS,CN,Yichun
YIE,medium_airport,Arxan Yi'ershi Airport,47.3106,119.9117,2925,AS,CN,Arxan
YIH,medium_airport,Yichang Sanxia Airport,30.55655,111.479988,673,AS,CN,Yichang
YIW,medium_airport,Yiwu Airport,29.3446998596,120.031997681,262,AS,CN,Yiwu
YKH,medium_airport,Yingkou Lanqi Airport,40.542524,122.3586,0,AS,CN,Yingkou
YKO,medium_airport,Hakkari Yüksekova Airport,37.5497,44.2381,6400,AS,TR,Hakkari
YKS,medium_airport,Yakutsk Airport,62.0932998657227,129.77099609375,325,AS,RU,Yakutsk
YNB,medium_airport,Prince Abdulmohsin Bin Abdulaziz Airport,24.144199,38.0634,26,AS,SA,Yanbu
YNJ,medium_airport,Yanji Chaoyangchuan Airport,42.8828010559,129.451004028,624,AS,CN,Yanji
YNT,medium_airport,Duplicate --Yantai Penglai International Airport,37.65722,120.9872,154,AS,CN,Yantai
YNT,large_airport,Yantai Penglai International Airport,37.657222,120.987222,154,AS,CN,Yantai
YNY,medium_airport,Yangyang International Airport,38.061298,128.669006,241,AS,KR,Gonghang-ro
YSQ,medium_airport,Songyuan Chaganhu Airport,44.938114,124.550178,459,AS,CN,Qian Gorlos Mongol Autonomous County
YTY,medium_airport,Yangzhou Taizhou Airport,32.560184,119.717141,16,AS,CN,
YTY,medium_airport,Yangzhou Taizhou Airport,32.5634,119.7198,7,AS,CN,Yangzhou and Taizhou
YZY,medium_airport,Zhangye Ganzhou Airport,38.8018989563,100.675003052,5280,AS,CN,Zhangye
ZAH,medium_airport,Zahedan International Airport,29.475700378418,60.9062004089356,4564,AS,IR,Zahedan
ZAM,medium_airport,Zamboanga International Airport,6.92242002487183,122.059997558594,33,AS,PH,Zamboanga City
ZBR,medium_airport,Konarak Airport,25.4433002472,60.3820991516,43,AS,IR,Chabahar
ZHA,medium_airport,Zhanjiang Airport,21.214399,110.358002,125,AS,CN,Zhanjiang
ZHY,medium_airport,Zhongwei Shapotou Airport,37.573125,105.154454,8202,AS,CN,Zhongwei
ZIX,medium_airport,Zhigansk Airport,66.7965011597,123.361000061,292,AS,RU,Zhigansk
ZKP,medium_airport,Zyryanka Airport,65.7485,150.8889,140,AS,RU,Zyryanka
ZQZ,medium_airport,Zhangjiakou Ningyuan Airport,40.7386016846,114.930000305,2347,AS,CN,Zhangjiakou
ZUH,medium_airport,Zhuhai Jinwan Airport,22.006399,113.375999,23,AS,CN,Zhuhai
ZYI,medium_airport,Zunyi Xinzhou Airport,27.5895,107.0007,2920,AS,CN,Zunyi
ZYL,medium_airport,Osmany International Airport,24.9631996154785,91.8667984008789,50,AS,BD,Sylhet
AAL,large_airport,Aalborg Airport,57.0927589138,9.84924316406,10,EU,DK,Aalborg
AAQ,medium_airport,Anapa Vityazevo Airport,45.002101898193,37.347301483154,174,EU,RU,Anapa
AAR,medium_airport,Aarhus Airport,56.2999992371,10.6190004349,82,EU,DK,Aarhus
ABC,medium_airport,Albacete-Los Llanos Airport,38.9485015869,-1.86352002621,2302,EU,ES,Albacete
ABZ,large_airport,Aberdeen Dyce Airport,57.2019004821777,-2.19777989387512,215,EU,GB,Aberdeen
ACE,medium_airport,Lanzarote Airport,28.945499,-13.6052,46,EU,ES,Lanzarote Island
ACH,medium_airport,St Gallen Altenrhein Airport,47.4850006104,9.56077003479,1306,EU,CH,Altenrhein
ACI,medium_airport,Alderney Airport,49.706104,-2.21472,290,EU,GG,Saint Anne
AER,large_airport,Sochi International Airport,43.449902,39.9566,89,EU,RU,Sochi
AES,medium_airport,Ålesund Airport,62.5625,6.11969995498657,69,EU,NO,Ålesund
AEY,medium_airport,Akureyri Airport,65.6600036621094,-18.0727005004883,6,EU,IS,Akureyri
AGF,medium_airport,Agen-La Garenne Airport,44.1747016906738,0.590556025505066,204,EU,FR,Agen/La Garenne
AGH,medium_airport,Ängelholm-Helsingborg Airport,56.2961006164551,12.8471002578735,68,EU,SE,Ängelholm
AGP,large_airport,Málaga Airport,36.6749000549316,-4.49911022186279,53,EU,ES,Málaga
AHO,medium_airport,Alghero-Fertilia Airport,40.632099,8.29077,87,EU,IT,Alghero
AJA,medium_airport,Ajaccio-Napoléon Bonaparte Airport,41.9235992431641,8.8029203414917,18,EU,FR,Ajaccio/Napoléon Bonaparte
AJR,medium_airport,Arvidsjaur Airport,65.5903015136719,19.2819004058838,1245,EU,SE,Arvidsjaur
ALC,large_airport,Alicante International Airport,38.2821998596191,-0.55815601348877,142,EU,ES,Alicante
ALF,medium_airport,Alta Airport,69.976097106934,23.371700286865,9,EU,NO,Alta
ALL,medium_airport,Villanova D'Albenga International Airport,44.050598,8.12743,148,EU,IT,Albenga (SV)
AMS,large_airport,Amsterdam Airport Schiphol,52.308601,4.76389,-11,EU,NL,Amsterdam
ANE,medium_airport,Angers-Loire Airport,47.560299,-0.312222,194,EU,FR,Angers/Marcé
